date,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
23-02-2021 21:00,1,3.5244679787039064,2.809689515671403,4.03302540359372,7.1940249261808225,4.733921840467085,5.976350909297934,28.36190476,63.18809524
23-02-2021 22:00,1,3.4636196945848026,2.7468937694273716,4.080873845989015,7.091412217923001,4.730625673852218,5.936449164071595,28.32058824,63.77352941
23-02-2021 23:00,1,3.354978907860541,2.669771266789319,4.025877147836955,7.072334534549743,4.733567211655122,5.922855530599995,28.33666667,64.205
24-02-2021 00:00,1,3.2339614622862416,2.592639349590882,4.021194848740565,7.145571458876118,4.731634247380643,5.966326210197282,28.305,64.735
24-02-2021 01:00,1,3.1579219823395737,2.5366026411239164,4.003438337423258,7.187878605959224,4.747810590309515,5.976350909297934,28.3,65.18833333
24-02-2021 02:00,1,3.1417067619530425,2.528125768907977,4.039793921595737,7.214792819945979,4.762122081316636,5.979670267225271,28.25333333,65.56166667
24-02-2021 03:00,1,3.1166954325869027,2.5048454336641255,4.021781336563687,7.17830670621208,4.746449816960619,5.976350909297934,28.21666667,65.925
24-02-2021 04:00,1,3.0905120095160346,2.495681722955959,4.004631964400031,7.148278131551511,4.744268719660699,5.976350909297934,28.2,66.29166667
24-02-2021 05:00,1,3.08922261664133,2.4898941912990393,3.9853608239468197,7.142555427421223,4.736322124956761,5.976350909297934,28.18833333,66.58333333
24-02-2021 06:00,1,3.1064533956031113,2.499521552412829,4.012947697410954,7.188167238086739,4.756745552540969,5.992838602661126,28.16166667,66.90666667
24-02-2021 07:00,1,3.1986731175506815,2.54827260874315,4.030537625322621,7.224997367266959,4.760512155662028,6.039691060313193,28.19166667,67.17333333
24-02-2021 08:00,1,3.539750864579011,2.8154087194227095,4.199149423482612,7.16273929939986,4.737421968886182,5.993928176629083,28.18666667,67.30166667
24-02-2021 09:00,1,4.298848809317372,3.462658255134451,4.78468238355864,6.616893489918707,4.791187128924276,5.721480492409357,28.135,66.775
24-02-2021 10:00,1,4.596913974881357,3.751854253275325,4.888385631145711,6.885148323264093,4.839978769096378,5.657001402060016,28.36666667,65.97777778
24-02-2021 11:00,1,4.08520570764465,3.3277302297802827,3.7214263039536406,6.971952335577327,4.458938484785336,5.693198887895495,25.81666667,58.98333333
24-02-2021 12:00,1,4.00724227200908,3.242527245069265,4.078758449530801,7.113906474485577,4.5956469839024425,5.770318998456445,25.705,60.93833333
24-02-2021 13:00,1,3.7272985640980734,3.0415020079573902,4.144661074104574,7.183684051207848,4.682054372319113,5.863858422502836,25.81666667,62.84
24-02-2021 14:00,1,3.5533460588187404,2.8710190293803497,4.091416390475267,7.151276978223263,4.651381472471043,5.909910976342897,25.85,63.34333333
24-02-2021 15:00,1,3.5644898214070633,2.850190265964955,4.035300442909561,7.394801252116133,4.619914523050012,5.906266460295397,25.83035714,62.62321429
24-02-2021 16:00,1,3.5111971193688696,2.792391349535961,4.049535753652778,7.291834667364292,4.644167477069136,5.877408930890715,25.78,61.42666667
24-02-2021 17:00,1,3.8431729808095234,3.056200020477968,4.499327517113081,6.92866611551697,4.83774406525462,5.853886884219043,27.42166667,63.38
24-02-2021 18:00,1,3.8409923448443375,3.0698342931542824,4.259642169283837,6.822395628050763,4.730804688716975,5.907539312170221,27.72166667,64.115
24-02-2021 19:00,1,3.730221313401084,2.95846298828618,4.222924654866352,6.802435873590383,4.743995748357167,5.907539312170221,27.71833333,65.11666667
24-02-2021 20:00,1,3.6096107524662715,2.8719626038982775,4.132663426524237,6.814878735481285,4.717997852949218,5.925191188676695,27.77666667,65.6
24-02-2021 21:00,1,3.535193943953491,2.8161070785072404,4.041519978992458,6.799673285683384,4.731357803988285,5.960713200820868,27.8,66.055
24-02-2021 22:00,1,3.5267526045075,2.812610396389107,3.998049314063884,6.837466925863959,4.714348603873153,5.976350909297934,27.8,66.27166667
24-02-2021 23:00,1,3.5156662895848796,2.809101445171938,3.944401130612067,6.84114848711315,4.719118025115517,5.976350909297934,27.8,66.21666667
25-02-2021 00:00,1,3.4720699667577994,2.784187858289064,3.960737611124061,6.912829383910634,4.707009910929821,5.993928176629083,27.79666667,66.37833333
25-02-2021 01:00,1,3.480727137182843,2.7939220401761737,3.9632273958638575,6.932958980456527,4.696472648337876,6.0239640051179,27.78,66.46833333
25-02-2021 02:00,1,3.5062078361557214,2.788605597636042,3.9914230451579487,6.884496887404936,4.71265983313598,5.9818770669990196,27.7,66.56666667
25-02-2021 03:00,1,3.4850788656428575,2.761064236598575,3.9122143205262456,6.792626093747511,4.723028774345853,5.976350909297934,27.7,66.585
25-02-2021 04:00,1,3.375252596656023,2.6985608748567533,3.8748907232479763,6.793482948582118,4.70445699396992,5.976350909297934,27.7,66.825
25-02-2021 05:00,1,3.290576138909284,2.6498324030187606,3.885697510410595,6.8458330656578585,4.6981889543314095,5.9774585867134835,27.69666667,67.12333333
25-02-2021 06:00,1,3.3059094237109234,2.647474188979305,3.9102497675707717,6.878221416429596,4.692456441861726,5.9895627398183855,27.60666667,67.42166667
25-02-2021 07:00,1,3.360317514981228,2.6779345771975867,3.9663309345049207,6.942781631165815,4.708991017239986,6.030284538877404,27.64333333,67.81333333
25-02-2021 08:00,1,3.4802847260445544,2.7382783475677104,3.964898082587454,6.921877163132061,4.717388957354153,6.0407307884109,27.83103448,67.69310345
25-02-2021 11:00,1,3.295836866004329,2.6100697927420065,3.742965096267178,7.648825581272163,4.493724526674317,5.976350909297934,27.7,61.5
26-02-2021 11:00,1,3.6297381067955388,2.957205437412367,4.101148324880496,8.155693686835791,4.640772368803875,5.873442512206054,26.74411765,69.43823529
26-02-2021 12:00,1,3.717750317595399,2.993145597490126,4.268385633981505,7.93070500312836,4.6594354932169955,5.911094702597691,26.82333333,70.24
26-02-2021 13:00,1,3.7020424406402173,3.031018976414681,4.226275438641116,7.967778148522287,4.639935153379789,5.909910976342897,26.79,69.86166667
26-02-2021 14:00,1,3.6876703902406978,3.022130747408522,4.216189214925973,7.735281243029532,4.6507822892770925,5.919341782701668,26.76833333,68.92833333
26-02-2021 15:00,1,3.7758977756002863,3.0907393769807645,4.3087939844871626,7.585895415035537,4.663290340595982,5.925191188676695,26.815,69.68333333
26-02-2021 16:00,1,3.931694905160242,3.212656525054284,4.5123355229322115,7.401967867291365,4.7472665033277845,5.9063513673106955,26.85666667,70.88166667
26-02-2021 17:00,1,4.080273809690529,3.3141253966540787,4.405600532345759,7.268140730465551,4.748354381421574,5.937940696615619,27.60666667,69.96666667
26-02-2021 18:00,1,4.138839802108651,3.3703944725071104,4.2693015671530015,7.280584241347272,4.698760402958542,6.028182130043144,28.23,69.30333333
26-02-2021 19:00,1,4.143478582663014,3.3811647279119192,4.378474081823951,7.126723726668257,4.741261923131463,5.978565038283965,28.3,70.46666667
26-02-2021 20:00,1,4.0881588031350145,3.3433916995657684,4.316683345397283,7.058138872240152,4.747538583388829,5.976350909297934,28.305,70.875
26-02-2021 21:00,1,4.028323461183654,3.2976253889764995,4.23056715674956,7.086331497411158,4.733843045029694,5.985178162381415,28.32166667,71.05166667
26-02-2021 22:00,1,4.004892191885366,3.279543226381336,4.21965007474696,7.10718681828004,4.730603479212933,6.0206923149520355,28.33409091,71.15454545
27-02-2021 16:00,1,4.407938016458383,3.653252276470785,4.156003942608828,7.131010824024815,4.612602497805387,6.212205213805881,29.1,70.4
27-02-2021 17:00,1,4.424547185829718,3.654805473780185,4.254777254539652,7.07927706091416,4.6702212320123415,6.15963435527398,29.11,70.2525
27-02-2021 18:00,1,4.392678039890245,3.6238074573702215,4.170761988496811,7.061092485172273,4.676812477992214,6.159172904937773,29.06166667,70.23666667
27-02-2021 19:00,1,4.366849543074035,3.6017771638099982,4.234840534696455,7.013098594492042,4.697617179875717,6.149898896052741,28.975,70.18
27-02-2021 20:00,1,4.338031207403755,3.5783668000664144,4.141545103769426,7.059288536345881,4.714067340659035,6.158249364752807,28.95,70.52
27-02-2021 21:00,1,4.310194916042168,3.5534414831234122,4.078758449530801,7.055176509629132,4.683505590587274,6.158249364752807,28.85833333,69.99333333
27-02-2021 22:00,1,4.290866614817284,3.524530552414403,4.110941651056057,7.031858719178871,4.666652182271621,6.152238035359065,28.77027027,69.51891892
27-02-2021 23:00,1,4.172666332855663,3.4109535567046074,3.97174812238783,6.910490359237766,4.5982142850044685,6.101215411067101,28.76470588,68.17058824
28-02-2021 00:00,1,4.086508383917683,3.344979701663927,3.9494562244652753,6.900592688766699,4.620355963191031,6.101215411067101,28.7,68.405
28-02-2021 01:00,1,3.9654057820564605,3.250051442465891,3.9180849281918646,6.9137790992911805,4.626822735436386,6.10316989162609,28.7,68.74833333
28-02-2021 02:00,1,3.8349259550431793,3.13542174939047,3.9718931465544154,6.854331295234686,4.64386576128062,6.104145701383439,28.605,68.965
28-02-2021 03:00,1,3.7289411596877824,3.029650491757452,4.009985724682565,6.851102384404616,4.6750590559484975,6.107067430180069,28.55166667,69.25
28-02-2021 04:00,1,3.608256717235146,2.9168694249479237,4.021194848740565,6.848268509566059,4.701897542940521,6.101215411067101,28.5,69.56
28-02-2021 05:00,1,3.539460616898926,2.8497426458145627,4.015310974784871,6.9170014015428,4.706726574821913,6.101215411067101,28.475,69.95
28-02-2021 06:00,1,3.441379171294987,2.775189504147631,3.9755841740498066,6.976152906679983,4.6984747194641665,6.10316989162609,28.415,70.33166667
28-02-2021 07:00,1,3.384842138522942,2.722062677519861,4.024708626871039,7.014472873391906,4.720795933704576,6.132985810535098,28.475,70.78666667
28-02-2021 08:00,1,3.3583478702707708,2.6805648031981923,3.9962464998821154,6.99243001147642,4.707293166781118,6.158249364752807,28.65666667,70.62666667
28-02-2021 09:00,1,3.4254562959913883,2.677476439290082,4.001645221210118,6.906920931010651,4.659138349720752,6.134879230312534,28.87,69.82833333
28-02-2021 10:00,1,3.3962965029507877,2.6413166803590755,3.918735095468092,6.817181564395717,4.58993065192857,6.126330465450554,29.105,68.84333333
28-02-2021 11:00,1,3.3073139614521256,2.556710381658452,3.8452551568123,6.721583519661891,4.5545990868600175,6.101215411067101,29.17,68.05
28-02-2021 12:00,1,3.282038399825841,2.542782398874083,3.886369072652555,6.692638179348832,4.557564120462077,6.101215411067101,29.27,67.79666667
28-02-2021 13:00,1,3.2456475752358176,2.5406829358273577,3.944401130612067,6.659163141901827,4.5729069467522905,6.101215411067101,29.405,67.755
28-02-2021 14:00,1,3.151381829362342,2.4445185888827123,3.9450344166663527,6.604037316164959,4.560520388623298,6.101215411067101,29.47666667,67.415
28-02-2021 15:00,1,3.1133671502353755,2.3813962734183356,3.9076243454923114,6.613310390150967,4.593110425218199,6.101215411067101,29.41,67.68666667
28-02-2021 16:00,1,3.1651937144776543,2.4169549031067685,3.9271490281615007,6.601446128005888,4.557893026649374,6.0923726655395205,29.61333333,66.445
28-02-2021 17:00,1,3.3121232725207626,2.554899021608035,3.9563655157181232,6.603260664470453,4.571610300075946,6.0407307884109,29.56333333,66.29666667
28-02-2021 18:00,1,3.368214947813074,2.6131288348334385,3.9450344166663527,6.663073945861472,4.598808661027452,6.0407307884109,29.41833333,66.43
28-02-2021 19:00,1,3.3186608260721706,2.562767492000212,4.022367480441342,6.6809650867477295,4.644770634724996,6.0407307884109,29.32166667,66.53
28-02-2021 20:00,1,3.310421351613968,2.580721752854693,4.027627373154603,6.684314183406023,4.672129836013795,6.0407307884109,29.22333333,67.43333333
28-02-2021 21:00,1,3.2622545480424727,2.558776498354456,4.03633284318551,6.709081144620298,4.677688037426845,6.051069041006116,29.14166667,68.42333333
28-02-2021 22:00,1,3.2084887321164395,2.5229247169755213,4.081523838007017,6.679766257314303,4.689001093977206,6.044878923821617,29.07166667,69.38333333
28-02-2021 23:00,1,3.200168597538356,2.5223897427751822,4.044390137289056,6.63336316912182,4.663290340595982,6.038650250294197,29.035,69.76
01-03-2021 00:00,1,3.2148008666922934,2.5384474167160302,3.9865762117218653,6.613310390150967,4.649582846664021,6.037608355622213,29.0,69.85833333
01-03-2021 01:00,1,3.21292481950889,2.5460540110308023,3.9613606387566054,6.574625250954303,4.646276939640616,6.029233887095903,28.95833333,69.93166667
01-03-2021 02:00,1,3.1625170911988163,2.4858783999858027,3.9657109969683377,6.566597884127454,4.640238057248585,5.9895627398183855,28.9,69.82
01-03-2021 03:00,1,3.086486636822455,2.4356580469266076,3.922627247781114,6.577818241353441,4.636293136156881,6.014407662659503,28.875,69.66
01-03-2021 04:00,1,3.1049603005888855,2.459873701227412,3.9122143205262456,6.584965410392876,4.633552892045199,6.006911296179063,28.8,69.62333333
01-03-2021 05:00,1,3.058237478905388,2.443071410337601,3.877603388545374,6.602742561367198,4.631110799988445,6.027129265632715,28.8,69.69
01-03-2021 06:00,1,3.065957718443488,2.4656955144759416,3.836825568299844,6.695476244486136,4.6510819257516305,6.052097011952484,28.77666667,69.89333333
01-03-2021 07:00,1,3.1186870977601524,2.49595648569986,3.8883810574313755,6.811729943514951,4.64988284174073,6.101215411067101,28.78333333,69.96166667
01-03-2021 08:00,1,3.408614252879565,2.6983365089145708,4.0535196741212705,6.807093705980776,4.562486389911246,6.050040012012211,28.96333333,68.49833333
01-03-2021 09:00,1,3.4768347959560755,2.7035958505296156,4.402686154291772,6.558931069934578,4.553986158788559,5.893877968723337,29.16666667,66.01904762
